DATE,GDP
1/1/2016,18525.933
4/1/2016,18711.702
7/1/2016,18892.639
10/1/2016,19089.379
1/1/2017,19280.084
4/1/2017,19438.643
7/1/2017,19692.595
10/1/2017,20037.088
1/1/2018,20328.553
4/1/2018,20580.912
7/1/2018,20798.73
10/1/2018,20917.867
1/1/2019,21104.133
4/1/2019,21384.775
7/1/2019,21694.282
10/1/2019,21902.39
1/1/2020,21706.513
4/1/2020,19913.143
7/1/2020,21647.64
10/1/2020,22024.502
1/1/2021,22600.185
4/1/2021,23292.362
7/1/2021,23828.973
10/1/2021,24654.603
1/1/2022,25029.116
4/1/2022,25544.273
7/1/2022,25994.639
10/1/2022,26408.405
1/1/2023,26813.601
4/1/2023,27063.012
7/1/2023,27610.128
10/1/2023,27956.998
