DATE,CLDACBW027SBOG
1/1/2016,268.0741538
4/1/2016,277.9938385
7/1/2016,286.9380077
10/1/2016,296.1479077
1/1/2017,305.3902692
4/1/2017,310.7165615
7/1/2017,315.6498769
10/1/2017,323.1654462
1/1/2018,329.7455692
4/1/2018,334.0876615
7/1/2018,337.6244385
10/1/2018,340.7153077
1/1/2019,344.1223077
4/1/2019,346.5634538
7/1/2019,348.3935385
10/1/2019,350.2102692
1/1/2020,353.8533231
4/1/2020,363.5071538
7/1/2020,372.4839857
10/1/2020,374.7086462
1/1/2021,376.2690154
4/1/2021,379.2364077
7/1/2021,384.5470923
10/1/2021,388.4574923
1/1/2022,392.5291923
4/1/2022,407.2521308
7/1/2022,423.5605846
10/1/2022,441.3239615
1/1/2023,459.2685769
4/1/2023,471.3150231
7/1/2023,482.0536
10/1/2023,486.2390385
