DATE,BAMLH0A0HYM2
1/1/2004,3.94
2/1/2004,4.258571429
3/1/2004,4.40173913
4/1/2004,3.975238095
5/1/2004,4.250952381
6/1/2004,4.069090909
7/1/2004,4.01173913
8/1/2004,4.081363636
9/1/2004,3.873636364
10/1/2004,3.727272727
11/1/2004,3.289545455
12/1/2004,3.103181818
1/1/2005,3.204285714
2/1/2005,3.0515
3/1/2005,2.975
4/1/2005,3.781363636
5/1/2005,4.227727273
6/1/2005,3.902727273
7/1/2005,3.494090909
8/1/2005,3.373913043
9/1/2005,3.639090909
10/1/2005,3.584761905
11/1/2005,3.621363636
12/1/2005,3.654545455
1/1/2006,3.545714286
2/1/2006,3.335
3/1/2006,3.25173913
4/1/2006,3.0605
5/1/2006,3.018695652
6/1/2006,3.280909091
7/1/2006,3.37047619
8/1/2006,3.41826087
9/1/2006,3.428636364
10/1/2006,3.252272727
11/1/2006,3.14
12/1/2006,2.996666667
1/1/2007,2.762272727
2/1/2007,2.6205
3/1/2007,2.86
4/1/2007,2.737
5/1/2007,2.571363636
6/1/2007,2.612727273
7/1/2007,3.348636364
8/1/2007,4.31
9/1/2007,4.424285714
10/1/2007,4.160869565
11/1/2007,5.310909091
12/1/2007,5.6945
1/1/2008,6.796818182
2/1/2008,7.245238095
3/1/2008,8.083
4/1/2008,7.393181818
5/1/2008,6.685652174
6/1/2008,6.730952381
7/1/2008,7.748695652
8/1/2008,8.199090909
9/1/2008,9.19
10/1/2008,14.9426087
11/1/2008,17.95904762
12/1/2008,20.30954545
1/1/2009,16.73363636
2/1/2009,16.53619048
3/1/2009,17.83772727
4/1/2009,15.59666667
5/1/2009,12.50590909
6/1/2009,10.80590909
7/1/2009,10.27
8/1/2009,8.971428571
9/1/2009,8.452272727
10/1/2009,7.763043478
11/1/2009,7.561904762
12/1/2009,6.936363636
1/1/2010,6.225714286
2/1/2010,6.730952381
3/1/2010,6.12173913
4/1/2010,5.593809524
5/1/2010,6.500952381
6/1/2010,7.016818182
7/1/2010,6.778695652
8/1/2010,6.755909091
9/1/2010,6.421363636
10/1/2010,6.008181818
11/1/2010,5.872727273
12/1/2010,5.551304348
1/1/2011,5.124285714
2/1/2011,4.6575
3/1/2011,4.836521739
4/1/2011,4.662380952
5/1/2011,4.846818182
6/1/2011,5.49
7/1/2011,5.434545455
8/1/2011,6.990434783
9/1/2011,7.675454545
10/1/2011,7.908571429
11/1/2011,7.606363636
12/1/2011,7.516818182
1/1/2012,6.835238095
2/1/2012,6.244285714
3/1/2012,5.963043478
4/1/2012,6.1335
5/1/2012,6.313478261
6/1/2012,6.771363636
7/1/2012,6.355
8/1/2012,5.923043478
9/1/2012,5.611428571
10/1/2012,5.487727273
11/1/2012,5.709090909
12/1/2012,5.3365
1/1/2013,4.918181818
2/1/2013,4.993
3/1/2013,4.804285714
4/1/2013,4.764090909
5/1/2013,4.37826087
6/1/2013,5.058095238
7/1/2013,4.816956522
8/1/2013,4.750952381
9/1/2013,4.642857143
10/1/2013,4.554347826
11/1/2013,4.321363636
12/1/2013,4.087142857
1/1/2014,3.967727273
2/1/2014,4.0305
3/1/2014,3.807619048
4/1/2014,3.705238095
5/1/2014,3.75
6/1/2014,3.471904762
7/1/2014,3.653043478
8/1/2014,3.971818182
9/1/2014,4.06
10/1/2014,4.514347826
11/1/2014,4.457619048
12/1/2014,5.075909091
1/1/2015,5.294285714
2/1/2015,4.711428571
3/1/2015,4.664545455
4/1/2015,4.626666667
5/1/2015,4.50952381
6/1/2015,4.66
7/1/2015,5.106086957
8/1/2015,5.658095238
9/1/2015,5.868181818
10/1/2015,6.197391304
11/1/2015,6.136190476
12/1/2015,6.870909091
1/1/2016,7.625238095
2/1/2016,8.225714286
3/1/2016,6.983181818
4/1/2016,6.619545455
5/1/2016,6.260909091
6/1/2016,6.104090909
7/1/2016,5.649090909
8/1/2016,5.3
9/1/2016,5.145454545
10/1/2016,4.736666667
11/1/2016,4.889090909
12/1/2016,4.282727273
1/1/2017,4.011428571
2/1/2017,3.853
3/1/2017,3.89826087
4/1/2017,3.911
5/1/2017,3.743478261
6/1/2017,3.750909091
7/1/2017,3.691904762
8/1/2017,3.833913043
9/1/2017,3.719090909
10/1/2017,3.492272727
11/1/2017,3.681818182
12/1/2017,3.601904762
1/1/2018,3.349545455
2/1/2018,3.542
3/1/2018,3.638636364
4/1/2018,3.473333333
5/1/2018,3.468695652
6/1/2018,3.451818182
7/1/2018,3.59
8/1/2018,3.452608696
9/1/2018,3.341428571
10/1/2018,3.519130435
11/1/2018,4.017272727
12/1/2018,4.7635
1/1/2019,4.572272727
2/1/2019,4.128
3/1/2019,4.010454545
4/1/2019,3.783333333
5/1/2019,4.063913043
6/1/2019,4.214285714
7/1/2019,3.997391304
8/1/2019,4.293913043
9/1/2019,3.943809524
10/1/2019,4.09826087
11/1/2019,4.05
12/1/2019,3.721904762
1/1/2020,3.601363636
2/1/2020,3.921904762
3/1/2020,7.854090909
4/1/2020,8.138095238
5/1/2020,7.287272727
6/1/2020,6.066363636
7/1/2020,5.699565217
8/1/2020,5.123809524
9/1/2020,5.26
10/1/2020,5.052173913
11/1/2020,4.525238095
12/1/2020,4.044545455
1/1/2021,3.78047619
2/1/2021,3.526190476
3/1/2021,3.547391304
4/1/2021,3.268095238
5/1/2021,3.333809524
6/1/2021,3.174545455
7/1/2021,3.173043478
8/1/2021,3.321363636
9/1/2021,3.117272727
10/1/2021,3.149090909
11/1/2021,3.224545455
12/1/2021,3.269545455
1/1/2022,3.224761905
2/1/2022,3.646
3/1/2022,3.788695652
4/1/2022,3.652380952
5/1/2022,4.487727273
6/1/2022,4.87
7/1/2022,5.300909091
8/1/2022,4.526521739
9/1/2022,4.985454545
10/1/2022,4.998095238
11/1/2022,4.676818182
12/1/2022,4.583181818
1/1/2023,4.343809524
2/1/2023,4.2005
3/1/2023,4.691304348
4/1/2023,4.5655
5/1/2023,4.68826087
6/1/2023,4.294090909
7/1/2023,3.937142857
8/1/2023,3.903043478
9/1/2023,3.889090909
10/1/2023,4.355454545
11/1/2023,3.985909091
12/1/2023,3.574285714
